cis,nom_commercial,dci,atc
60538772,"ABIES CANADENSIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ABIES CANADENSIS POUR PRÉPARATIONS HOMÉOPATHIQUES,
65698396,"ABIES NIGRA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH",ABIES NIGRA POUR PRÉPARATIONS HOMÉOPATHIQUES,
63075735,"ABIES PECTINATA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ABIES PECTINATA POUR PRÉPARATIONS HOMÉOPATHIQUES,
69985792,"ABIES PECTINATA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ABIES PECTINATA POUR PRÉPARATIONS HOMÉOPATHIQUES,
64055988,"ABILIFY 1 mg/mL, solution buvable",ARIPIPRAZOLE,N05AX12
65198099,"ABILIFY 10 mg, comprimé",ARIPIPRAZOLE,N05AX12
61815891,"ABILIFY 10 mg, comprimé orodispersible",ARIPIPRAZOLE,N05AX12
64224801,"ABILIFY 15 mg, comprimé",ARIPIPRAZOLE,N05AX12
66791654,"ABILIFY 15 mg, comprimé orodispersible",ARIPIPRAZOLE,N05AX12
60599533,"ABILIFY 5 mg, comprimé",ARIPIPRAZOLE,N05AX12
69641873,"ABILIFY 7,5 mg/ml, solution injectable",ARIPIPRAZOLE,
68729480,"ABILIFY MAINTENA 300 mg, poudre et solvant pour suspension injectable à libération prolongée",ARIPIPRAZOLE,N05AX12
66706942,"ABILIFY MAINTENA 400 mg, poudre et solvant pour suspension injectable à libération prolongée en seringue préremplie",ARIPIPRAZOLE,N05AX12
63466449,"ABILIFY MAINTENA 720 mg, suspension injectable à libération prolongée en seringue préremplie",ARIPIPRAZOLE,
67269958,"ABILIFY MAINTENA 960 mg, suspension injectable à libération prolongée en seringue préremplie",ARIPIPRAZOLE,
60621442,"ABIRATERONE ACCORD 500 mg, comprimé pelliculé",ACÉTATE D'ABIRATÉRONE,L02BX03
61954108,"ABIRATERONE ACETATE ZYDUS 500 mg, comprimé pelliculé",ACÉTATE D'ABIRATÉRONE,L02BX03
65731907,"ABIRATERONE ARROW 500 mg, comprimé pelliculé",ACÉTATE D'ABIRATÉRONE,L02BX03
65412934,"ABIRATERONE BIOGARAN 500 mg, comprimé pelliculé",ACÉTATE D'ABIRATÉRONE,L02BX03
68633208,"ABIRATERONE CRISTERS 500 mg, comprimé pelliculé",ACÉTATE D'ABIRATÉRONE,L02BX03
61760740,"ABIRATERONE EG 500 mg, comprimé pelliculé",ACÉTATE D'ABIRATÉRONE,L02BX03
66460184,"ABIRATERONE EVOLUGEN 500 mg, comprimé pelliculé",ACÉTATE D'ABIRATÉRONE,L02BX03
68478448,"ABIRATERONE KRKA 500 mg, comprimé pelliculé",ACÉTATE D'ABIRATÉRONE,L02BX03
62375509,"ABIRATERONE MYLAN 500 mg, comprimé pelliculé",ACÉTATE D'ABIRATÉRONE,L02BX03
67430062,"ABIRATERONE SANDOZ 1000 mg, comprimé pelliculé",ACÉTATE D'ABIRATÉRONE,L02BX03
67365440,"ABIRATERONE SANDOZ 500 mg, comprimé pelliculé",ACÉTATE D'ABIRATÉRONE,L02BX03
63001674,"ABIRATERONE TEVA 500 mg, comprimé pelliculé",ACÉTATE D'ABIRATÉRONE,L02BX03
65665802,"ABIRATERONE ZENTIVA 500 mg, comprimé pelliculé",ACÉTATE D'ABIRATÉRONE,L02BX03
68739019,"ABRAXANE 5 mg/mL, poudre pour dispersion injectable pour perfusion",PACLITAXEL,L01CD01
62082709,"ABROTANUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ABROTANUM POUR PRÉPARATIONS HOMÉOPATHIQUES,
67871676,"ABROTANUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ABROTANUM POUR PRÉPARATIONS HOMÉOPATHIQUES,
60990140,"ABRYSVO, poudre et solvant pour solution injectable. Vaccin du virus respiratoire syncytial (bivalent, recombinant)",ANTIGÈNE F DU VRS DU SOUS-GROUPE A STABILISÉ EN FORME PRÉFUSION; ANTIGÈNE F DU VRS DU SOUS-GROUPE B STABILISÉ EN FORME PRÉFUSION,
64457435,"ABSINTHIUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ABSINTHIUM POUR PRÉPARATIONS HOMÉOPATHIQUES,
60612094,"ABSINTHIUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ABSINTHIUM POUR PRÉPARATIONS HOMÉOPATHIQUES,
68336954,"ABSTRAL 100 microgrammes, comprimé sublingual",CITRATE DE FENTANYL,N02AB03
67144513,"ABSTRAL 200 microgrammes, comprimé sublingual",CITRATE DE FENTANYL,N02AB03
61464150,"ABSTRAL 300 microgrammes, comprimé sublingual",CITRATE DE FENTANYL,N02AB03
60282999,"ABSTRAL 400 microgrammes, comprimé sublingual",CITRATE DE FENTANYL,N02AB03
63451714,"ABSTRAL 600 microgrammes, comprimé sublingual",CITRATE DE FENTANYL,N02AB03
61578296,"ABSTRAL 800 microgrammes, comprimé sublingual",CITRATE DE FENTANYL,N02AB03
64728712,"ABUFENE 400 mg, comprimé",ALANINE,
62963238,"ACALYPHA INDICA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ACALYPHA INDICA POUR PRÉPARATIONS HOMÉOPATHIQUES,
69724187,"ACAMPROSATE BIOGARAN 333 mg, comprimé pelliculé gastro-résistant",ACAMPROSATE CALCIQUE,
60929194,"ACAMPROSATE VIATRIS 333 mg, comprimé enrobé gastro-résistant",ACAMPROSATE CALCIQUE,N07BB03
61621192,"ACARBOSE ARROW 100 mg, comprimé sécable",ACARBOSE,A10BF01
69664434,"ACARBOSE ARROW 50 mg, comprimé",ACARBOSE,A10BF01
68371745,"ACARBOSE ARROW LAB 100 mg, comprimé",ACARBOSE,
63958735,"ACARBOSE ARROW LAB 50 mg, comprimé",ACARBOSE,
64127672,"ACARBOSE BIOGARAN 100 mg, comprimé sécable",ACARBOSE,A10BF01
69116854,"ACARBOSE BIOGARAN 50 mg, comprimé",ACARBOSE,A10BF01
65803331,"ACARBOSE EG 100 mg, comprimé",ACARBOSE,A10BF01
61937888,"ACARBOSE EG 50 mg, comprimé",ACARBOSE,A10BF01
67093136,"ACARBOSE SANDOZ 100 mg, comprimé",ACARBOSE,A10BF01
69771614,"ACARBOSE SANDOZ 50 mg, comprimé",ACARBOSE,A10BF01
60946941,"ACARBOSE VIATRIS 100 mg, comprimé sécable",ACARBOSE,A10BF01
60989978,"ACARBOSE VIATRIS 50 mg, comprimé",ACARBOSE,A10BF01
67901945,"ACARBOSE ZENTIVA 100 mg, comprimé sécable",ACARBOSE,A10BF01
64493666,"ACARBOSE ZENTIVA 50 mg, comprimé",ACARBOSE,A10BF01
67813445,"ACARIZAX 12 SQ-HDM, lyophilisat sublingual",EXTRAIT ALLERGÉNIQUE DE DERMATOPHAGOIDES FARINAE; EXTRAIT ALLERGÉNIQUE DE DERMATOPHAGOIDES PTERONYSSINUS,
61823354,"ACCOFIL 12 MU/0,2 ml, solution injectable ou pour perfusion en seringue préremplie",FILGRASTIM,
68056062,"ACCOFIL 30 MU/0,5 ml, solution injectable ou pour perfusion en seringue préremplie",FILGRASTIM,L03AA02
60812344,"ACCOFIL 48 MU/0,5 ml, solution injectable ou pour perfusion en seringue préremplie",FILGRASTIM,
63909873,"ACCOFIL 70 MU/0,73 ml, solution injectable ou pour perfusion en seringue préremplie",FILGRASTIM,
67627711,"ACCUSOL 35 POTASSIUM 2 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration",BICARBONATE DE SODIUM; CALCIUM (CHLORURE DE) DIHYDRATÉ; CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ; CHLORURE DE POTASSIUM; CHLORURE DE SODIUM; GLUCOSE MONOHYDRATÉ,
61278936,"ACCUSOL 35 POTASSIUM 4 mmol/l, solution pour hémofiltration, hémodialyse et hémodiafiltration",BICARBONATE DE SODIUM; CALCIUM (CHLORURE DE) DIHYDRATÉ; CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ; CHLORURE DE POTASSIUM; CHLORURE DE SODIUM; GLUCOSE MONOHYDRATÉ,
69430342,"ACCUSOL 35, solution pour hémofiltration, hémodialyse et hémodiafiltration",BICARBONATE DE SODIUM; CALCIUM (CHLORURE DE) DIHYDRATÉ; CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ; CHLORURE DE SODIUM,
63880820,"ACEBUTOLOL ALMUS 200 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL,C07AB04
66904792,"ACEBUTOLOL ARROW 200 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL,
62096139,"ACEBUTOLOL ARROW 400 mg, comprimé pelliculé sécable",CHLORHYDRATE D'ACÉBUTOLOL,
63661520,"ACEBUTOLOL ARROW LAB 200 mg, comprimé pelliculé sécable",CHLORHYDRATE D'ACÉBUTOLOL,C07AB04
68167148,"ACEBUTOLOL ARROW LAB 400 mg, comprimé pelliculé sécable",CHLORHYDRATE D'ACÉBUTOLOL,C07AB04
65637614,"ACEBUTOLOL BIOGARAN 200 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL,C07AB04
60281598,"ACEBUTOLOL BIOGARAN 400 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL,C07AB04
64021217,"ACEBUTOLOL CRISTERS 200 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL,C07AB04
69461099,"ACEBUTOLOL EG 200 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL,C07AB04
63874155,"ACEBUTOLOL EG 400 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL,C07AB04
64304820,"ACEBUTOLOL SANDOZ 200 mg, comprimé enrobé",CHLORHYDRATE D'ACÉBUTOLOL,C07AB04
67050875,"ACEBUTOLOL SANDOZ 400 mg, comprimé enrobé",CHLORHYDRATE D'ACÉBUTOLOL,C07AB04
64847741,"ACEBUTOLOL TEVA 200 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL,C07AB04
62604153,"ACEBUTOLOL TEVA 400 mg, comprimé pelliculé sécable",CHLORHYDRATE D'ACÉBUTOLOL,C07AB04
67771398,"ACEBUTOLOL VIATRIS 200 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL,C07AB04
62500717,"ACEBUTOLOL VIATRIS 400 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL,C07AB04
69877717,"ACEBUTOLOL ZENTIVA 200 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL,
65842957,"ACEBUTOLOL ZENTIVA 400 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL,
60477038,"ACEBUTOLOL ZYDUS 200 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL,C07AB04
63151492,"ACEBUTOLOL ZYDUS 400 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL,C07AB04
68600724,"ACECLOFENAC ACCORD 100 mg, comprimé pelliculé",ACÉCLOFÉNAC,M01AB16
64130871,"ACECLOFENAC BIOGARAN 100 mg, comprimé pelliculé",ACÉCLOFÉNAC,
64937530,"ACECLOFENAC EG LABO 100 mg, comprimé pelliculé",ACÉCLOFÉNAC,
63092688,"ACECLOFENAC VIATRIS 100 mg, comprimé pelliculé",ACÉCLOFÉNAC,
67238724,"ACETANILIDUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH",ACETANILIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES,
65900339,"ACETATE DE CYPROTERONE ARROW 100 mg, comprimé sécable",ACÉTATE DE CYPROTÉRONE,G03HA01
67552319,"ACETATE DE CYPROTERONE ARROW 50 mg, comprimé sécable",ACÉTATE DE CYPROTÉRONE,G03HA01
60899178,"ACETATE DE CYPROTERONE EG 100 mg, comprimé sécable",ACÉTATE DE CYPROTÉRONE,
67588728,"ACETATE DE CYPROTERONE EG 50 mg, comprimé sécable",ACÉTATE DE CYPROTÉRONE,
65230796,"ACETATE DE CYPROTERONE SANDOZ 100 mg, comprimé sécable",ACÉTATE DE CYPROTÉRONE,
67443608,"ACETATE DE CYPROTERONE TEVA 100 mg, comprimé sécable",ACÉTATE DE CYPROTÉRONE,
63455260,"ACETATE DE CYPROTERONE TEVA 50 mg, comprimé",ACÉTATE DE CYPROTÉRONE,
69243168,"ACETATE DE TERLIPRESSINE EVER PHARMA 0,2 mg/ml, solution injectable",ACÉTATE DE TERLIPRESSINE,H01BA04
69773711,"ACETICUM ACIDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ACETICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES,
68976484,"ACETICUM ACIDUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ACETICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES,
66767379,"ACETONUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ACETONUM POUR PRÉPARATIONS HOMÉOPATHIQUES,
61406745,"ACETYLCYSTEINE ALPEX 600 mg ADULTES, granulés pour solution buvable",ACÉTYLCYSTÉINE,
69148542,"ACETYLCYSTEINE ARROW 200 mg, comprimé effervescent",ACÉTYLCYSTÉINE,
69205527,"ACETYLCYSTEINE BGR CONSEIL 200 mg SANS SUCRE, poudre pour solution buvable en sachet-dose",ACÉTYLCYSTÉINE,
62784356,"ACETYLCYSTEINE BIOGARAN CONSEIL 200 mg, poudre pour solution buvable en sachet",ACÉTYLCYSTÉINE,
68043798,"ACETYLCYSTEINE EG 200 mg, poudre pour solution buvable en sachet-dose",ACÉTYLCYSTÉINE,
69896678,"ACETYLCYSTEINE EG LABO CONSEIL 200 mg SANS SUCRE, poudre pour solution buvable en sachet-dose",ACÉTYLCYSTÉINE,
67494823,"ACETYLCYSTEINE SANDOZ CONSEIL 200 mg, granulés pour solution buvable en sachet-dose",ACÉTYLCYSTÉINE,
67657188,"ACETYLCYSTEINE TEVA CONSEIL 200 mg SANS SUCRE, poudre pour solution buvable en sachet-dose",ACÉTYLCYSTÉINE,
65483582,"ACETYLCYSTEINE VIATRIS CONSEIL 200 mg, poudre pour solution buvable en sachet-dose",ACÉTYLCYSTÉINE,
66069082,"ACETYLCYSTEINE ZENTIVA CONSEIL 200 mg SANS SUCRE, poudre pour solution buvable en sachet",ACÉTYLCYSTÉINE,
62887979,"ACETYLLEUCINE BIOGARAN 500 mg, comprimé",ACÉTYLLEUCINE,
65897327,"ACETYLLEUCINE TEVA 500 mg, comprimé",ACÉTYLLEUCINE,
61920248,"ACETYLLEUCINE VIATRIS 500 mg, comprimé",ACÉTYLLEUCINE,
65372144,"ACETYLLEUCINE ZENTIVA 500 mg, comprimé",ACÉTYLLEUCINE,
69516211,"ACICLOVIR ACCORD 25 mg/mL, solution à diluer pour perfusion",ACICLOVIR SODIQUE,
68401067,"ACICLOVIR AGEPHA 30 mg/g, pommade ophtalmique",ACICLOVIR,S01AD03
61683272,"ACICLOVIR ALMUS 200 mg, comprimé",ACICLOVIR,J05AB01
62022480,"ACICLOVIR ALMUS 5 %, crème",ACICLOVIR,D06BB03
68888917,"ACICLOVIR ARROW 200 mg, comprimé",ACICLOVIR,
67363642,"ACICLOVIR ARROW 5 %, crème",ACICLOVIR,
60111197,"ACICLOVIR ARROW 800 mg, comprimé",ACICLOVIR,J05AB01
64858307,"ACICLOVIR ARROW CONSEIL 5 %, crème",ACICLOVIR,
63299690,"ACICLOVIR ARROW GENERIQUES 200 mg, comprimé",ACICLOVIR,J05AB01
62485208,"ACICLOVIR BIOGARAN 200 mg, comprimé",ACICLOVIR,J05AB01
68303445,"ACICLOVIR BIOGARAN 5 %, crème",ACICLOVIR,
62970791,"ACICLOVIR BIOGARAN 800 mg, comprimé",ACICLOVIR,J05AB01
68102563,"ACICLOVIR BIOGARAN CONSEIL 5 %, crème",ACICLOVIR,
69175190,"ACICLOVIR CRISTERS 200 mg, comprimé",ACICLOVIR,J05AB01
67344332,"ACICLOVIR CRISTERS 5 %, crème",ACICLOVIR,
62945806,"ACICLOVIR CRISTERS 800 mg, comprimé",ACICLOVIR,
61938584,"ACICLOVIR CRISTERS CONSEIL 5 %, crème",ACICLOVIR,
60418673,"ACICLOVIR EG 200 mg, comprimé",ACICLOVIR,J05AB01
62891447,"ACICLOVIR EG 5 POUR CENT, crème",ACICLOVIR,
64776881,"ACICLOVIR EG 800 mg, comprimé",ACICLOVIR,J05AB01
61754342,"ACICLOVIR HIKMA 250 mg, poudre pour solution pour perfusion",ACICLOVIR,J05AB01
69116587,"ACICLOVIR HIKMA 500 mg, poudre pour solution pour perfusion",ACICLOVIR,J05AB01
68887509,"ACICLOVIR SANDOZ 5 %, crème",ACICLOVIR,
60799637,"ACICLOVIR SANDOZ CONSEIL 5 %, crème",ACICLOVIR,D06BB03
68560639,"ACICLOVIR TEVA 200 mg, comprimé",ACICLOVIR,J05AB01
66086740,"ACICLOVIR TEVA 800 mg, comprimé",ACICLOVIR,J05AB01
68474955,"ACICLOVIR TEVA SANTE 5 %, crème",ACICLOVIR,
67720806,"ACICLOVIR VIATRIS 200 mg, comprimé",ACICLOVIR,J05AB01
69258501,"ACICLOVIR VIATRIS 250 mg, poudre pour solution injectable (IV)",ACICLOVIR,J05AB01
60126377,"ACICLOVIR VIATRIS 5 %, crème",ACICLOVIR,
60890745,"ACICLOVIR VIATRIS 500 mg, poudre pour solution injectable (IV)",ACICLOVIR,J05AB01
67260521,"ACICLOVIR VIATRIS 800 mg, comprimé",ACICLOVIR,J05AB01
69540696,"ACICLOVIR VIATRIS CONSEIL 5 %, crème",ACICLOVIR,
64855318,"ACICLOVIR ZENTIVA 200 mg, comprimé",ACICLOVIR,J05AB01
64941728,"ACICLOVIR ZENTIVA 5 %, crème",ACICLOVIR,
60964409,"ACICLOVIR ZENTIVA 800 mg, comprimé",ACICLOVIR,
69180611,"ACICLOVIR ZYDUS 200 mg, comprimé",ACICLOVIR,J05AB01
66005293,"ACICLOVIR ZYDUS 5 %, crème",ACICLOVIR,
66313736,"ACIDE ACETYLSALICYLIQUE BIOGARAN 100 mg, comprimé gastro-résistant",ACIDE ACÉTYLSALICYLIQUE,
61143618,"ACIDE ACETYLSALICYLIQUE BIOGARAN 75 mg, comprimé gastro-résistant",ACIDE ACÉTYLSALICYLIQUE,
68300762,"ACIDE ACETYLSALICYLIQUE PANPHARMA 1 g, poudre et solvant pour solution injectable",DL-LYSINE (ACÉTYLSALICYLATE DE),
68852682,"ACIDE ACETYLSALICYLIQUE PANPHARMA 500 mg, poudre et solvant pour solution injectable",DL-LYSINE (ACÉTYLSALICYLATE DE),
62018101,"ACIDE ACETYLSALICYLIQUE PANPHARMA 500 mg, poudre pour solution injectable",DL-LYSINE (ACÉTYLSALICYLATE DE),B01AC06
68881730,"ACIDE ACETYLSALICYLIQUE VIATRIS 100 mg, comprimé gastro-résistant",ACIDE ACÉTYLSALICYLIQUE,B01AC06
66929906,"ACIDE ACÉTYLSALICYLIQUE EG LABO CONSEIL 500 mg, comprimé",ACIDE ACÉTYLSALICYLIQUE,
69784280,"ACIDE ALENDRONIQUE ALTER 70 mg, comprimé pelliculé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ,
60365142,"ACIDE ALENDRONIQUE ARROW LAB 70 mg, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ,M05BA04
63281774,"ACIDE ALENDRONIQUE BIOGARAN 70 mg, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ,M05BA04
67464926,"ACIDE ALENDRONIQUE CRISTERS 70 mg, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ,M05BA04
68229767,"ACIDE ALENDRONIQUE EG 70 mg, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ,M05BA04
68659822,"ACIDE ALENDRONIQUE TEVA SANTE 70 mg, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ,M05BA04
63174719,"ACIDE ALENDRONIQUE VIATRIS 70 mg, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ,M05BA04
63525488,"ACIDE ALENDRONIQUE ZENTIVA 70 mg, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ,M05BA04
64272874,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) CRISTERS 70 mg/2800 UI, comprimé","ALENDRONATE MONOSODIQUE TRIHYDRATÉ; CHOLÉCALCIFÉROL (CONCENTRAT DE), FORME PULVÉRULENTE",M05BB03
63001941,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) CRISTERS 70 mg/5600 UI, comprimé","ALENDRONATE MONOSODIQUE TRIHYDRATÉ; CHOLÉCALCIFÉROL (CONCENTRAT DE), FORME PULVÉRULENTE",M05BB03
65035846,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EG 70 mg/2800 UI, comprimé","ALENDRONATE DE SODIUM TRIHYDRATÉ; CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE",M05BB03
69242155,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EG 70 mg/5600 UI, comprimé","ALENDRONATE DE SODIUM TRIHYDRATÉ; CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE",M05BB03
60934017,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EVOLUGEN 70 mg/2800 UI, comprimé","ALENDRONATE MONOSODIQUE TRIHYDRATÉ; CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE",M05BB03
66407096,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) EVOLUGEN 70 mg/5600 UI, comprimé","ALENDRONATE MONOSODIQUE TRIHYDRATÉ; CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE",M05BB03
62300481,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) ZENTIVA 70 mg/2 800 UI, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ; CHOLÉCALCIFÉROL,M05BB03
62999597,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) ZENTIVA 70 mg/5 600 UI, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ; CHOLÉCALCIFÉROL,M05BB03
63278319,"ACIDE ALENDRONIQUE/VITAMINE D3 ARROW 70 mg/2 800 UI, comprimé","ALENDRONATE DE SODIUM TRIHYDRATÉ; CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE",M05BB03
64079238,"ACIDE ALENDRONIQUE/VITAMINE D3 ARROW 70 mg/5 600 UI, comprimé","ALENDRONATE DE SODIUM TRIHYDRATÉ; CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE",M05BB03
66407826,"ACIDE ALENDRONIQUE/VITAMINE D3 BGR 70 mg/2800 UI, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ; CHOLÉCALCIFÉROL,
68265101,"ACIDE ALENDRONIQUE/VITAMINE D3 BGR 70 mg/5600 UI, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ; CHOLÉCALCIFÉROL,
60648756,"ACIDE ALENDRONIQUE/VITAMINE D3 TEVA SANTE 70 mg/2800 UI, comprimé",ALENDRONATE DE SODIUM MONOHYDRATÉ; CHOLÉCALCIFÉROL,M05BB03
65079554,"ACIDE ALENDRONIQUE/VITAMINE D3 TEVA SANTE 70 mg/5600 UI, comprimé",ALENDRONATE DE SODIUM MONOHYDRATÉ; CHOLÉCALCIFÉROL,M05BB03
65383557,"ACIDE ALENDRONIQUE/VITAMINE D3 VIATRIS 70 mg/2800 UI, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ; CHOLÉCALCIFÉROL,M05BB03
60796566,"ACIDE ALENDRONIQUE/VITAMINE D3 VIATRIS 70 mg/5 600 UI, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ; CHOLÉCALCIFÉROL,M05BB03
68569606,"ACIDE CARGLUMIQUE TILLOMED 200 mg, comprimé dispersible sécable",ACIDE CARGLUMIQUE,A16AA05
63501366,"ACIDE CARGLUMIQUE WAYMADE 200 mg, comprimé dispersible",ACIDE CARGLUMIQUE,A16AA05
67320915,"ACIDE FOLIQUE ARROW 5 mg, comprimé",ACIDE FOLIQUE,
